[Command: python -u /Users/ianlewis/Documents/GitHub/ianlew.is/dev-projects/Map/loc_estimator.py]
[41.1399814, -104.8202462]
[59.9124514, 26.2623374]
[42.7284117, -73.69178509999999]
[41.1399814, -104.8202462]
[-11.7910581, -38.35625539999999]
[32.7554883, -97.3307658]
[14.6572108, -86.21076719999999]
[43.513006, 4.987968]
[47.394144, 0.68484]
[51.376165, -0.098234]
[52.511285, 13.336045]
[31.2000924, 29.9187387]
[34.9381496, -91.0209529]
[-18.4546732, -63.21299349999999]
[41.919229, 8.738635]
[33.2148412, -97.13306829999999]
[-14.5994134, -28.6731465]
[-14.5994134, -28.6731465]
[31.957981, 118.867458]
[19.1252361, -98.76711309999999]
[40.7364469, -73.9899162]
[39.900076, -79.71643259999999]
[10.6549013, -61.50192559999999]
[45.0703393, 7.686864]
[46.818188, 8.227511999999999]
[49.205164, 2.583212]
[47.5595986, 7.5885761]
[-37.877, 145.131]
[55.604981, 13.003822]
[52.3758916, 9.732010400000002]
[61.1749982, 5.2144952]
[49.214439, -2.13125]
[43.490103, 2.376579]
[23.634501, -102.552784]
[38.6270025, -90.19940419999999]
[5.2528033, -76.8259652]
[50.687222, 7.645556000000001]
[35.214621, 25.711977]
[40.44062479999999, -79.9958864]
[50.134664, -0.357056]
[32.0947711, 20.1879106]
[37.6241793, -104.7802645]
[41.7508391, -88.1535352]
[23.634501, -102.552784]
['Zero Results', 'Zero Results']
[50.87848109999999, 10.5115698]
[49.4521018, 11.0766654]
[51.5073509, -0.1277583]
[45.188529, 5.724524]
[55.755826, 37.6172999]
[14.718011, -17.4845087]
[51.376165, -0.098234]
[40.7607793, -111.8910474]
[47.5382565, -116.1193328]
[41.322316, -74.8023882]
[32.7766642, -96.79698789999999]
[32.060255, 118.796877]
[34.373361, -118.5400404]
[17.8304479, -95.8132139]
[34.373361, -118.5400404]
[35.6976541, -0.6337376]
[37.7749295, -122.4194155]
[-28.3333333, 153]
[13.4548761, -16.5790323]
[46.231418, 4.593407]
[41.2509919, -75.5393155]
['Zero Results', 'Zero Results']
[40.014561, -74.3112574]
[48.7758459, 9.1829321]
[-35.675147, -71.542969]
[-6.7155252, 146.999905]
[50.73757, 4.23251]
[21.7991419, 31.3713164]
[9.350598999999999, -79.901527]
['Zero Results', 'Zero Results']
[29.2108147, -81.0228331]
[-33.3017267, -66.3377522]
[-27.5764793, 152.9399218]
[37.9319317, 23.7008044]
[-2.9760735, 104.7754307]
[40.7346687, -110.8437819]
[13.531665, -2.4604145]
[49.4874592, 8.466039499999999]
[51.21543, 2.928656]
[51.376165, -0.098234]
[40.6605634, 17.961533]
[45.20349, -0.834259]
[49.1429001, 13.5561642]
[50.1109221, 8.6821267]
[45.6769979, -111.0429339]
[-14.322395, -170.723225]
[45.8211405, -81.9421524]
[32.9028812, -118.4980744]
[67.1700511, 32.4229656]
[43.296482, 5.36978]
[25.6775595, -100.2596935]
[34.5531284, 18.0480105]
[49.050966, 2.100645]
[37.5368803, -119.6562684]
[25.6845378, 78.5660852]
[-37.633, 144.95]
[42.466095, 2.578342]
[41.2559961, 13.6068672]
[19.4228872, -99.1028166]
[-36.9686277, 174.7936872]
[34.4113854, -118.5400858]
[-23.5505199, -46.63330939999999]
[41.49932, -81.6943605]
[51.165691, 10.451526]
[49.2291909, -124.8607794]
[37.672167, -97.55854]
[-31.9791666, -70.1125]
[45.7832856, -108.5006904]
[40.1208752, 9.012892599999999]
['Zero Results', 'Zero Results']
[4.710988599999999, -74.072092]
[-0.0917016, 34.7679568]
['Zero Results', 'Zero Results']
[47.5316049, 21.6273124]
[27.0750533, 142.2116025]
[18.4441222, -95.2130284]
